matter_id,file_number,intro_date,agenda_date,passed_date,body,matter_type,status,requester,enactment_number,action_type_ai,clean_title,summary,topic_tags,geography,raw_title,notes,tag_status
47171,201901859,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0528-2019,emergency ordinance,Herringbone Drive office space exemption,"Approve 12-year tax exemption for office and commercial space, 9.4M construction.",tax policy|economic development,Madisonville,"ORDINANCE (EMERGENCY), dated 12/16/2019, submitted by Patrick A. Duhaney, City Manager, APPROVING AND AUTHORIZING the City Manager to execute a Community Reinvestment Area Tax Exemption Agreement with To Life LTD, thereby authorizing a 12-year tax exemption for 100% of the value of improvements made to real property located at 5110 Herringbone Drive in the Madisonville neighborhood of Cincinnati, in connection with the construction of a building containing approximately 35,980 square feet of office space and approximately 16,240 square feet of commercial space, at a total construction cost of approximately $9,412,000.",,success
47172,201901860,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0529-2019,emergency ordinance,1735 Vine Street residential remodeling exemption,"Approve 12-year tax exemption for six-unit residential building remodeling, 1M investment.",tax policy|housing,Over-the-Rhine,"ORDINANCE, (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 12/16/2019, APPROVING AND AUTHORIZING the City Manager to execute a Community Reinvestment Area Tax Exemption Agreement with 1735 Vine, LLC, thereby authorizing a 12-year tax exemption for 100% of the value of improvements made to real property located at 1735 Vine Street in the Over-the-Rhine neighborhood of Cincinnati, in connection with the remodeling of an existing building into approximately 4,500 square feet of residential rental space, across six residential rental units, and approximately 693 square feet of commercial space, at a total construction cost of approximately $1,044,555.",,success
47173,201901861,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0530-2019,emergency ordinance,Madison and Stewart residential complex exemption,"Approve 12-year tax exemption for 151-unit residential complex, 15.5M construction.",tax policy|housing,Madisonville,"ORDINANCE (EMERGENCY), dated 12/16/2019, submitted by Patrick A. Duhaney, City Manager, APPROVING AND AUTHORIZING the City Manager to execute a Community Reinvestment Area Tax Exemption Agreement with Madison and Stewart, LLC, thereby authorizing a 12-year tax exemption for 100% of the value of improvements made to real property located at 5522-5540 Madison Road and 5015-5119 Stewart Avenue  in the Madisonville neighborhood of Cincinnati, in connection with the construction of approximately 82,312 square feet of residential space, consisting of 151 residential rental units across 37 buildings, as well as the remodeling of a building, at a total construction cost of approximately $15,500,000.",,success
47174,201901867,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0534-2019,emergency ordinance,Spring Grove Avenue William Powell exemption,"Declare William Powell Company improvements public purpose, 30-year tax exemption.",tax policy|economic development,Camp Washington,"ORDINANCE (EMERGENCY), dated 12/16/2019, submitted by Patrick A. Duhaney, City Manager, DECLARING improvements to certain real property located at 3261 Spring Grove Avenue in the Camp Washington neighborhood of Cincinnati, to be constructed pursuant to a Development Agreement between the City of Cincinnati and The William Powell Company, to be a public purpose and exempt from real property taxation for a period of 30 years pursuant to Section 5709.41 of the Ohio Revised Code.",,success
47175,201901868,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0537-2019,emergency ordinance,1704 Elm Street residential remodeling exemption,"Approve 12-year tax exemption for two-unit residential building remodeling, 966K investment.",tax policy|housing,Over-the-Rhine,"ORDINANCE, (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 12/16/2019, APPROVING AND AUTHORIZING the City Manager to execute a Community Reinvestment Area Tax Exemption Agreement with Acanthus Properties V, L.L.C., thereby authorizing a 12-year tax exemption for 100% of the value of improvements made to real property located at 1704 Elm Street in the Over-the-Rhine neighborhood of Cincinnati, in connection with the remodeling of an existing building into approximately 2,224 square feet of residential rental space, across two residential rental units, and approximately 721 square feet of commercial space, at a total construction cost of approximately $966,627.",,success
47176,201901869,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0538-2019,emergency ordinance,Fountain Place property sale and development,"Authorize sale and redevelopment of 505 Vine with office, retail, parking.",economic development,Downtown,"ORDINANCE, (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 12/16/2019, AUTHORIZING the City Manager to execute a Property Sale and Development Agreement between the City of Cincinnati and Fountain Place, LLC for the sale of City-owned property at 505 Vine Street (known as Fountain Place), located in the Central Business District of Cincinnati, to be redeveloped as approximately 205,000 square feet of new office space; 20,000 square feet of renovated commercial space; and a renovated 165-space underground parking garage.",,success
47177,201901870,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0539-2019,emergency ordinance,Race Street mixed-use LEED exemption,"Approve 15-year tax exemption for LEED mixed-use building, 3.4M investment.",tax policy|housing|environment and sustainability,Over-the-Rhine,"ORDINANCE, (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 12/16/2019, APPROVING AND AUTHORIZING the City Manager to execute a Community Reinvestment Area Tax Exemption Agreement (LEED or Living Building Challenge) with Veregate Race Street, LLC, thereby authorizing a 15-year tax exemption for 100% of the value of improvements made to real property located at 1518 Race Street in the Over-the-Rhine neighborhood of Cincinnati, in connection with the construction of a mixed-use building containing approximately 12,009 square feet of residential space, consisting of 13 residential rental units, and 3,692 square feet of commercial space, which construction shall be completed in compliance with Leadership in Energy and Environmental Design Silver, Gold or Platinum standards or Living Building Challenge standards, at a total remodeling cost of approximately $3,400,000.",,success
47228,201901882,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0502-2019,emergency ordinance,District 36 North Fairmount Incentive District,Create District 36 North Fairmount Incentive District with tax exemptions and service payments.,tax policy|economic development,North Fairmount,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 36 North Fairmount Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47229,201901883,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0503-2019,emergency ordinance,Create District 35 Riverside Incentive District,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,Riverside,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 35 û Riverside Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47235,201901884,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0504-2019,emergency ordinance,Create District 34 South Cumminsville Incentive District,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,South Cumminsville,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 34 South Cumminsville Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47240,201901886,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0505-2019,emergency ordinance,Create District 33 South Fairmount Incentive District,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,South Fairmount,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 33 South Fairmount Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47241,201901887,2019-12-13,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0506-2019,emergency ordinance,Create District 32 Spring Grove Village Incentive District,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,citywide,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 32 Spring Grove Village Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
46947,201901899,2019-12-16,2020-01-08,2020-01-08,Cincinnati City Council,Ordinance,Passed,,0002-2020,ordinance,Donate Decommissioned Shotgun to Police Museum,Authorizing donation of decommissioned Remington 870 shotgun to Cincinnati Police Museum,public safety,citywide,"ORDINANCE, dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the City Manager to donate to the Cincinnati Police Museum a decommissioned Remington 870 12-Gauge Shotgun (serial #V683842V) from the Cincinnati Police Department.",,success
47041,201901901,2019-12-16,2019-12-18,2019-12-18,City Manager,Report,Historical,,,report,Liquor Permit Application Pins Mechanical Main Street,State liquor permit application for Pins Mechanical Co at 1124 Main Street,elections and governance,Downtown,"REPORT, dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, on a communication from the State of Ohio, Division of Liquor Control, advising of a permit application for Pins Mechanical Co Cincy LLC, BDA, Pins Mechanical Co., 1124 Main Street. (#69335360005, New, D5) [Objections: None]",,success
47044,201901900,2019-12-16,2019-12-18,2019-12-18,City Manager,Report,Historical,,,report,Liquor Permit Application Liberty Line East Liberty,State liquor permit application for Liberty Line LLC at 216 E Liberty Street,elections and governance,Downtown,"REPORT, dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, on a communication from the State of Ohio, Division of Liquor Control, advising of a permit application for Liberty Line LLC, 216 E. Liberty Street.  (#5182545, NEW, D3, D3A) [Objections: Yes]",,success
47061,201901903,2019-12-16,2020-01-08,2020-01-08,Major Projects & Smart Government,Motion,Historical,,,appointment,Appoint William Howe Board of Review,Appointment of William Howe to Board of Review for Tax Appeals,elections and governance,citywide,"MOTION, submitted by Councilmember Mann, I MOVE that William Howe be appointed to the Board of Review for Tax Appeals (resume attached).",,success
47073,201901904,2019-12-16,2019-12-18,2019-12-18,Cincinnati City Council,Motion,Historical,,,motion,CPS Agreement Charter School Revenue Negotiations,Motion regarding City-CPS agreement negotiations on charter school revenue calculations,education|budget,citywide,"MOTION, submitted by Councilmember Sittenfeld, WE MOVE that as part of negotiations for renewing the 1999 City-Cincinnati Public Schools (CPS) agreement, the City Administration should not consider - as part of CPS ""hold harmless"" calculation - revenues from the State of Ohio which are diverted to charter schools.",,success
47230,201901892,2019-12-16,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0510-2019,emergency ordinance,Create District 28 Roselawn Incentive District,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,Roselawn,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 28 û Roselawn Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47231,201901893,2019-12-16,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0511-2019,emergency ordinance,Create District 27 College Hill Incentive District,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,College Hill,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 27 College Hill Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47232,201901894,2019-12-16,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0512-2019,emergency ordinance,Create District 26 Eastern River Incentive District,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,Riverside,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 26 û Eastern River Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47233,201901895,2019-12-16,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0513-2019,emergency ordinance,Create District 25 Northside Incentive District,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,Northside,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 25 Northside Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47234,201901898,2019-12-16,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0516-2019,emergency ordinance,Create District 22 West End Incentive District,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,citywide,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 22 West End Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47236,201901889,2019-12-16,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0507-2019,emergency ordinance,Create District 31 Camp Washington Incentive District,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,Camp Washington,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 31 Camp Washington Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47237,201901890,2019-12-16,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0508-2019,emergency ordinance,District 30 Mount Airy Incentive District Creation,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,Mount Airy,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 30 Mount Airy Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47238,201901891,2019-12-16,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0509-2019,emergency ordinance,District 29 Westwood Boudinot Incentive District Creation,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,Westwood,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 29 Westwood Boudinot Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47239,201901896,2019-12-16,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0514-2019,emergency ordinance,District 24 Mount Auburn Incentive District Creation,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,Mount Auburn,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the District 24 Mount Auburn Incentive District pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47242,201901897,2019-12-16,2019-12-18,2019-12-18,Cincinnati City Council,Ordinance,Passed Emergency,,0515-2019,emergency ordinance,District 23 Pleasant Ridge Incentive District Creation,Creating incentive district with tax exemptions and service payments in lieu of taxes,economic development|tax policy,Pleasant Ridge,"ORDINANCE (EMERGENCY), dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, CREATING the ôDistrict 23 û Pleasant Ridge Incentive Districtö pursuant to Ohio Revised Code Section 5709.40(C) as delineated and specified in Exhibit A; declaring improvements to identified parcels within the district to be a public purpose and exempt from taxation; requiring that owners of parcels within the district make annual service payments in lieu of taxes; and establishing, identifying, and designating the conditions, criteria, and terms upon which the district is being created. (B VERSION)",,success
47254,201901902,2019-12-16,2019-12-18,2019-12-18,Metropolitan Sewer District of Greater Cincinnati,Report,Historical,,,report,Residential Rental Inspection Impact Report,Report on impact of residential rental inspection and registration programs,housing,citywide,"REPORT, dated 12/18/2019, submitted by Patrick A. Duhaney, City Manager, regarding a response to a Council Item on the impact of residential rental inspection and residential rental registration.  (SEE DOC. #201901616).",,success
46940,201901906,2019-12-17,2020-01-08,2020-01-08,Cincinnati City Council,Ordinance,Passed,,0003-2020,ordinance,Accessible Taxicab Grant Program Amendment,"Grant program providing $5,500 for accessible public vehicle purchases",transportation|economic development,citywide,"ORDINANCE, submitted by Paula Boggs Muething, City Solicitor to Councilmember P.G. Sittenfeld on 12/12/2019, AMENDING Ordinance 0194-2018 for the purpose of allowing purchasers of accessible public vehicles such as taxicabs, to receive a grant of $5,500 in order to encourage the proliferation of accessible transportation for Cincinnati residents and visitors.",,success
46946,201901913,2019-12-17,2020-01-08,2020-01-08,"Budget, Finance & Governance Committee",Resolution,Historical,,,resolution,Western Hills Viaduct Replacement Infrastructure Priority,Establishing viaduct replacement as top priority for SORTA transit funding,infrastructure|transportation|budget,Western Hills,"RESOLUTION (AMENDED), submitted by Vice Mayor Smitherman, ESTABLISHING the Western Hills Viaduct Replacement Project as City Council's top priority for infrastructure funding anticipated to become available to the City upon the passage of a Southwest Ohio Regional Transit Authority (""SORTA"") sales tax levy in March 2020 for transit service and infrastructure improvements to roads and bridges; and RECOMMENDING that the City Administration take steps necessary to enter into a funding agreement with SORTA consistent with this resolution.",,success
47074,201901905,2019-12-17,2019-12-18,2019-12-18,Cincinnati City Council,Motion,Historical,,,motion,Cincinnati Public Schools Tax Abatement Extension,Three-month extension of tax abatement agreement with CPS for renegotiation,tax policy|education,citywide,"MOTION, submitted by Councilmember Mann, WE MOVE that the city administration is hereby directed to negotiate an extension for three months (to and including March 31, 2020) of the tax abatement provisions (i.e., Section II) of the 1999 Agreement, including amendments, with Cincinnati Public Schools. During this extension the City and CPS: (A) will identify and engage the services of one or more professionals to determine the impact of tax abatements (including project and district TIFs) on CPS revenues for the purpose of recommending PILOT percentages and ""hold harmless"" provision for inclusion in a new agreement; and (B) negotiate and present such new agreement to Council for approval. (STATEMENT ATTACHED)",,success
47075,201901907,2019-12-17,2020-01-08,2020-01-08,Law & Public Safety Committee,Motion,Historical,,,motion,Police Department Shooting Range Noise Reduction,Research feasibility and cost to enclose shooting range and reduce noise,public safety,citywide,"MOTION, *(AMENDED) submitted by Vice Mayor Smitherman, WE MOVE that the administration research the cost *enclosing the City of Cincinnati Police Department's shooting range to reduce noise.*and feasibility to reduce noise at the facility up to and including. (STATEMENT ATTACHED)",,success
47078,201901908,2019-12-17,2020-01-08,2020-01-08,Cincinnati City Council,Ordinance,Passed Emergency,,0008-2020,emergency ordinance,David Street Honorary Renaming Dr. Willis Foster,David Street renamed Dr. Willis A. Foster Jr. Court honoring medical contributions,health|elections and governance,West Price Hill,"ORDINANCE, (EMERGENCY) submitted by Paula Boggs Muething, City Solicitor from Vice Mayor Smitherman on 12/9/2019, DECLARING that David Street, in the West End neighborhood, shall hereby receive the honorary, secondary name of Dr. Willis A. Foster Jr. Court in memory of Dr. Willis A. Foster Jr. for his many contributions and accomplishments benefitting mankind in the field of medicine.",,success
47079,201901912,2019-12-17,2020-01-23,2020-01-23,Metropolitan Sewer District of Greater Cincinnati,Motion,Historical,,,motion,East Court Street Honorary Renaming Todd Portune,East Court Street section renamed Todd Portune Way honoring decades of service,elections and governance,Downtown,"MOTION, submitted by Councilmembers Sittenfeld, Landsman, Seelbach, Pastor, Mann, Murray and Vice-Mayor Smitherman, WE MOVE that the section of East Court Street between Main Street and Walnut Street be honorarily renamed ""Todd Portune Way"" in recognition of Commissioner Portune's decades-long service in the citizens of Cincinnati and Hamilton County.",,success
47255,201901909,2019-12-17,2019-12-18,2019-12-18,Clerk of Council,Registration,Historical,,,registration,"REGISTRATION, submitted by the Clerk of Council from Legislative Agent Colleen M",,registrations and terminations,,"REGISTRATION, submitted by the Clerk of Council from Legislative Agent Colleen M. Reynolds, DSD Advisors - Gov. Affairs Consultant, Director of Government Affairs, 255 East Fifth Street, Suite 1900, Cincinnati, OHio 45202. (CINCINNATI USA REGIONAL CHAMBER)",,success
47256,201901910,2019-12-17,2019-12-18,2019-12-18,Clerk of Council,Registration,Historical,,,registration,"REGISTRATION, submitted by the Clerk of Council from Legislative Agent Jay Kinca",,registrations and terminations,,"REGISTRATION, submitted by the Clerk of Council from Legislative Agent Jay Kincaid, Consultant, Principal, 1411 Pleasant Street, Cincinnati, Ohio 45202. (CINCINNATI USA REGIONAL CHAMBER)",,success
47257,201901911,2019-12-17,2019-12-18,2019-12-18,Clerk of Council,Registration,Historical,,,registration,"REGISTRATION, submitted by the Clerk of Council from Legislative Alana M. Tucker",,registrations and terminations,,"REGISTRATION, submitted by the Clerk of Council from Legislative Alana M. Tucker, Government Strategies Group, 700 Walnut Street, Suite 450, Cincinnati, Ohio 45202. (TERMINATION)",,success
47258,201901916,2019-12-19,2020-01-08,2020-01-08,Mayor,Appointment,Historical,,,appointment,SWORWIB Appointment Stephanie Hall One Year,Appointment of Stephanie Hall to Southwest Ohio Regional Workforce Investment Board,labor and workforce,,"APPOINTMENT, submitted by Mayor Cranley I hereby appoint Stephanie Hall to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
47259,201901917,2019-12-19,2020-01-08,2020-01-08,Mayor,Appointment,Historical,,,appointment,SWORWIB Appointment Jamie D'Agostino One Year,Appointment of Jamie D'Agostino to Southwest Ohio Regional Workforce Investment Board,labor and workforce,,"APPOINTMENT, submitted by Mayor Cranley I hereby appoint Jamie D'Agostino to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
47260,201901918,2019-12-19,2020-01-08,2020-01-08,Mayor,Appointment,Historical,,,appointment,SWORWIB Appointment Shawntay Mallory One Year,Appointment of Shawntay Mallory to Southwest Ohio Regional Workforce Investment Board,labor and workforce,,"APPOINTMENT, submitted by Mayor Cranley I hereby appoint Shawntay Mallory to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
47261,201901919,2019-12-19,2020-01-08,2020-01-08,Mayor,Appointment,Historical,,,appointment,SWORWIB Appointment Clara Matonhodze Strode Year,Appointment of Clara Matonhodze Strode to Southwest Ohio Regional Workforce Investment Board,labor and workforce,,"APPOINTMENT, submitted by Mayor Cranley I hereby appoint Clara Matonhodze Strode to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
47262,201901924,2019-12-19,2020-01-08,2020-01-08,Mayor,Appointment,Historical,,,appointment,Appoint Samuel Ross to SWORWIB,One-year appointment to Southwest Ohio Regional Workforce Investment Board,labor and workforce,,"APPOINTMENT, submitted by Mayor Cranley I hereby appoint Samuel Ross to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
47263,201901914,2019-12-19,2020-01-08,2020-01-08,Mayor,Appointment,Historical,,,appointment,Appoint Uche Agomuo to SWORWIB,One-year appointment to Southwest Ohio Regional Workforce Investment Board,labor and workforce,,"APPOINTMENT, submitted by Mayor John Cranley, I hereby appoint Uche Agomuo to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
47264,201901915,2019-12-19,2020-01-08,2020-01-08,Mayor,Appointment,Historical,,,appointment,Appoint Heath Boucher to SWORWIB,One-year appointment to Southwest Ohio Regional Workforce Investment Board,labor and workforce,,"APPOINTMENT, submitted by Mayor Cranley, I hereby appoint Heath Boucher to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
47265,201901920,2019-12-19,2020-01-08,2020-01-08,Mayor,Appointment,Historical,,,appointment,Appoint Nick Milazzo to SWORWIB,One-year appointment to Southwest Ohio Regional Workforce Investment Board,labor and workforce,,"APPOINTMENT, submitted by Mayor Cranley I hereby appoint Nick Milazzo to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
47266,201901921,2019-12-19,2020-01-08,2020-01-08,Mayor,Appointment,Historical,,,appointment,Appoint Denisha Porter to SWORWIB,One-year appointment to Southwest Ohio Regional Workforce Investment Board,labor and workforce,,"APPOINTMENT, submitted by Mayor Cranley I hereby appoint Denisha Porter to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
47267,201901922,2019-12-19,2020-01-08,2020-01-08,Mayor,Appointment,Historical,,,appointment,Appoint Kevin Powell to SWORWIB,One-year appointment to Southwest Ohio Regional Workforce Investment Board,labor and workforce,,"APPOINTMENT, submitted by Mayor Cranley I hereby appoint Kevin Powell to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
47268,201901923,2019-12-19,2020-01-08,2020-01-08,Mayor,Appointment,Historical,,,appointment,Appoint Maureen Reilly to SWORWIB,One-year appointment to Southwest Ohio Regional Workforce Investment Board,labor and workforce,,"APPOINTMENT, submitted by Mayor Cranley I hereby appoint Maureen Reilly to the Southwest Ohio Regional Workforce Investment Board (SWORWIB) for a term of one year. This appointment is submitted to City Council for its advice and consent pursuant to its Rules.",,success
